============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  167  1 .9233209E+06   2000012E-02  .2988E+02  .1816E+03   .9972109 -.0205003  .0717650
T  168  1 .9080090E+06   2000204E-02 -.9153E+02  .1337E+03   .9998036 -.0074148  .0183765
T  169  1 .9082452E+06   2000018E-02  .2961E+03  .1253E+03   .9996310  .0245979  .0115263
T  170  1 .9079687E+06   2000212E-02 -.1091E+02 -.1146E+03   .9998504 -.0016784 -.0172179
T  171  1 .9055195E+06   2000187E-02  .1018E+03  .6213E+01   .9999361  .0079473 -.0080354
T  172  1 .9105336E+06   2000006E-02  .1177E+03 -.1631E+02   .9999571 -.0071221  .0059253
T  173  1 .9137843E+06   2000022E-02  .6741E+02 -.2765E+02   .9999967  .0002582 -.0025617
T  174  1 .9006715E+06   2000221E-02  .3072E+02  .1421E+02   .9998967  .0142554  .0018388
T  175  1 .9151708E+06   2000115E-02  .3492E+01  .5450E+02   .9999014  .0076594 -.0117693
T  176  1 .9093459E+06   2000165E-02  .2285E+03 -.5777E+02   .9996421  .0267381  .0009172
T  177  1 .9218443E+06   2000087E-02  .9664E+02 -.2424E+02   .9999342  .0037040 -.0108609
T  178  1 .9220847E+06   2000117E-02  .1375E+02 -.3069E+02   .9999834 -.0031570 -.0048248
T  179  1 .8994931E+06   2000220E-02 -.1664E+03 -.1068E+03   .9997601 -.0178439  .0127049
T  180  1 .9104741E+06   2000104E-02  .8309E+02  .9936E+02   .9999166  .0101924  .0079292
T  181  1 .9069031E+06   2000225E-02 -.2329E+02 -.7555E+02   .9999660  .0011760 -.0081631
T  182  1 .9057705E+06   2000023E-02 -.5528E+02 -.1336E+03   .9998405 -.0082967 -.0158184
T  183  1 .8905984E+06   2000208E-02  .1096E+03 -.5288E+02   .9998880  .0098574 -.0112628
T  184  1 .9034655E+06   2000198E-02 -.5436E+02  .9258E+02   .9999285 -.0096817  .0070243
T  185  1 .9088269E+06   2000083E-02  .7929E+02  .1839E+03   .9997725  .0132496  .0167130
T  186  1 .9108782E+06   2000214E-02  .3576E+01  .1081E+03   .9998419 -.0061640  .0166765
T  187  1 .9154073E+06   2000219E-02 -.2420E+03 -.1335E+03   .9997533 -.0220211 -.0028993
T  188  1 .9088055E+06   2000119E-02 -.4093E+02 -.2763E+02   .9999364 -.0054318  .0098813
T  189  1 .9041309E+06   2000026E-02  .4647E+02  .6258E+01   .9999860  .0037526  .0037175
T  190  1 .9163004E+06   2000134E-02  .1032E+03  .2236E+02   .9998674  .0143147  .0077654
T  191  1 .9126426E+06   2000042E-02 -.1632E+02 -.1559E+03   .9996823 -.0000156 -.0252058
T  192  1 .9079944E+06   2000179E-02 -.9195E+02  .1362E+03   .9998967 -.0136934  .0043620
T  193  1 .9044687E+06   2000139E-02 -.7823E+02 -.5252E+02   .9999175 -.0091710 -.0089958
T  194  1 .9135874E+06   2000094E-02  .2919E+01  .7395E+02   .9999834  .0002611  .0057641
T  195  1 .9070608E+06   2000193E-02 -.1454E+03 -.1328E+03   .9996445 -.0194678 -.0182179
T  196  1 .9082553E+06   2000005E-02 -.5679E+02 -.9951E+02   .9997697 -.0139565 -.0163002
T  197  1 .9078856E+06   2000028E-02 -.8846E+01 -.8766E+01   .9999655 -.0032507 -.0076489
T  198  1 .9178174E+06   2000112E-02 -.1100E+03 -.2181E+01   .9999281 -.0119380 -.0011554
T  199  1 .9005107E+06   2000191E-02  .1975E+02 -.4816E+02   .9998278  .0017549 -.0184728
T  200  1 .9075543E+06   2000077E-02  .2999E+03 -.9272E+02   .9995553  .0298184  .0001896
T  201  1 .9158994E+06   2000082E-02 -.5181E+02 -.1645E+02   .9999410 -.0096811 -.0049340
T  202  1 .9021066E+06   2000226E-02 -.3109E+02 -.1069E+03   .9999028 -.0092197 -.0104567
T  203  1 .9010481E+06   2000116E-02 -.7769E+02 -.6910E+02   .9998529 -.0169026  .0029248
T  204  1 .9080936E+06   2000047E-02 -.4798E+02 -.7839E+02   .9999695  .0047583 -.0061908
T  205  1 .9124600E+06   2000219E-02  .1721E+03 -.1739E+03   .9998244  .0058540 -.0178020
T  206  1 .9074708E+06   2000232E-02 -.1548E+03 -.1321E+02   .9999097 -.0074378  .0111892
