,"Energy, MeV","IFlux, cm-2"
102,0.32400219864740076,134350456125274.3
103,0.327758021558677,129610345921666.34
104,0.33155738184655065,124988035018351.83
105,0.33540078419487007,120482496715095.22
106,0.3392887391377623,116092653609959.98
107,0.3432217631274496,111817378816198.77
108,0.34720037860285136,107655497241816.47
109,0.3512251140589817,103606320311076.28
110,0.3552965041171521,99669272776328.45
111,0.35941508959598645,95841816859916.78
112,0.3635814175832605,92122598328049.92
113,0.3677960415085741,88510222010749.08
114,0.3720595212168644,85003253417313.6
115,0.376372423042773,81600220399728.1
116,0.3807353198858744,78299614861357.55
117,0.3851487912867758,75099894508122.03
118,0.3896134235041005,71999484639251.38
119,0.39412980959236277,68996779974576.28
120,0.3986985494807452,66090146515219.695
121,0.40332025005278976,63595776510997.6
122,0.4079955252270131,61292572023281.05
123,0.41272499603845486,59050072953271.78
124,0.4175092907211726,56867631325416.79
125,0.422349044791693,54744574715869.07
126,0.4272449011334291,52680207025254.85
127,0.4321975100820776,50673809281137.56
128,0.4372075295120055,48724640468994.33
129,0.4422756249236379,46831938390437.91
130,0.4474024695318591,44994920547346.54
131,0.45258874435543844,43213611908210.414
132,0.4578351383074925,41487199091503.69
133,0.46314234828699613,39814009327207.01
134,0.46851107927135477,38193187930124.016
135,0.47394204441004856,36623864667898.61
136,0.479435965119363,35105154768690.777
137,0.4849935711782181,33636159943552.336
138,0.490615600825107,32215969421677.277
139,0.4963028008561593,30843660996660.16
140,0.5020559267243412,29518803974043.758
141,0.5078757426398048,28240860042634.055
142,0.5137630216714014,27007970091192.684
143,0.5197185458493714,25819176658701.01
144,0.5257431062692237,24673516171194.82
145,0.5318375031968211,23570020012913.465
146,0.5380025461746819,22507715594584.0
147,0.5442390541295148,21485627416809.32
148,0.5505478554810002,20502902120553.133
149,0.5569297882518326,19559748696441.66
150,0.5633857001790379,18653877461229.992
151,0.5699164488265821,17784311489366.363
152,0.5765229016992848,16950076113912.541
153,0.5832059363580531,16150199918615.887
154,0.589966440536451,15383715711352.854
155,0.5968053122586221,14649661477125.6
156,0.6037234599585755,13936992647751.342
157,0.610721802600858,13247613256691.393
158,0.6178012698026237,12589636309976.621
159,0.6249628019571184,11962020127720.174
160,0.632207350358595,11364211110105.46
161,0.6395358773286794,10795809256591.68
162,0.6469493563441976,10254723967336.662
163,0.6544487721664872,9739970483362.324
164,0.6620351209722078,9250580201427.707
165,0.6697094104856657,8785601335093.173
166,0.6774726601126742,8344099532753.692
167,0.6853259010759664,7925158451983.4795
168,0.693270176552175,7527880289664.262
169,0.7013065418104022,7149154857506.399
170,0.7094360643523956,6779785816354.184
171,0.7176598240543479,6432396007561.317
172,0.7259789133103413,6104855590066.681
173,0.7343944371774548,5796152370563.627
174,0.7429075135225529,5505395780259.711
175,0.7515192731707762,5231722158948.958
176,0.7602308600557536,4974294796457.669
177,0.7690434313715551,4732303923482.852
178,0.7779581577264065,4504966653209.6455
179,0.7869762232981865,4291526875216.8755
180,0.7960988259917247,4091255103294.45
181,0.8053271775979239,3904180861621.157
182,0.8146625039547287,3729433779805.286
183,0.8241060451099562,3565822987569.468
184,0.8336590554860174,3412722887375.0757
185,0.8433228040465474,3269533113685.5747
186,0.8530985744649658,3135678143762.2217
187,0.8629876652949929,3010606876249.008
188,0.8729913901431416,2893792179777.2637
189,0.8831110778432081,2784730413853.351
190,0.8933480726327865,2682940924316.1265
191,0.90370373433183,2588377551852.1865
192,0.9141794385232797,2500935885765.176
193,0.924776576735789,2419456347197.8545
194,0.9354965566285668,2343544547784.3677
195,0.946340802178361,2272826258300.4688
196,0.9573107538686121,2206946799668.4414
197,0.9684078688807969,2145570424393.5225
198,0.9796336212879925,2088379690568.8472
199,0.9909895022506834,2035074830529.1504
200,1.0024770202148372,1985430851917.7168
201,1.014097701112279,1939414166731.2317
202,1.025853088563384,1896602259163.842
203,1.0377447440821261,1856744699563.2134
204,1.0497742472834974,1819606957901.494
205,1.0619431960933357,1784969683293.92
206,1.074253206960582,1752627994527.8066
207,1.0867059150720026,1722390783083.9592
208,1.099302974569394,1694080030011.8315
209,1.1120460587693108,1668312220182.6792
